Ciment,Argile,Alumine,Verre,Chamotte,Conductivité thermique,Résistance Mécanique
5.14,9.76,43.33,25.27,16.49,0.15,22.8
6.69,9.68,43.34,23.16,17.13,0.15,22.8
7.42,8.76,43.72,22.92,17.18,0.15,22.8
7.07,9.28,42.84,23.83,16.98,0.15,22.8
5.91,9.3,42.77,24.93,17.08,0.15,22.8
5.82,9.47,44.74,23.18,16.79,0.15,22.8
5.6,8.94,45.0,24.17,16.26,0.15,22.8
6.83,8.84,43.76,23.19,17.38,0.15,22.8
5.19,8.84,43.22,25.55,17.2,0.15,22.8
6.68,8.95,42.91,24.16,17.3,0.15,22.8
6.31,9.53,43.29,24.5,16.36,0.15,22.8
7.0,8.92,43.88,22.72,17.48,0.15,22.8
5.6,8.91,42.64,25.97,16.88,0.15,22.8
7.07,8.92,43.0,23.57,17.44,0.15,22.8
6.4,9.45,43.89,23.1,17.15,0.15,22.8
5.83,8.77,45.0,23.22,16.96,0.15,22.8
5.89,10.0,43.25,23.11,17.09,0.15,22.8
5.89,9.77,44.2,23.09,17.06,0.15,22.8
5.3,9.78,43.34,24.76,16.82,0.15,22.8
5.53,9.63,43.42,25.09,16.32,0.15,22.8
6.85,8.8,43.52,24.02,16.81,0.15,22.8
6.8,9.12,43.57,23.59,16.91,0.15,22.8
5.64,9.98,43.85,23.91,16.63,0.15,22.8
6.62,9.83,42.63,24.49,16.42,0.15,22.8
5.58,9.61,44.8,23.46,16.55,0.15,22.8
6.27,10.0,42.79,23.41,17.34,0.15,22.8
7.01,9.67,43.43,22.78,17.11,0.15,22.8
6.56,10.0,43.15,22.59,17.18,0.15,22.8
6.6,8.94,43.61,24.04,16.81,0.15,22.8
5.73,8.9,45.0,22.6,16.76,0.15,22.8
7.09,9.58,42.72,23.61,17.0,0.15,22.8
6.26,9.88,43.26,24.2,16.4,0.15,22.8
5.63,9.94,44.03,23.09,17.31,0.15,22.8
6.62,10.0,42.53,23.67,17.14,0.15,22.8
5.53,9.16,45.0,22.53,17.2,0.15,22.8
7.06,8.89,43.32,23.39,17.34,0.15,22.8
6.62,9.36,43.66,23.77,16.6,0.15,22.8
6.26,8.79,44.33,23.26,17.35,0.15,22.8
5.41,9.68,42.67,25.56,16.68,0.15,22.8
6.61,10.0,43.45,23.32,16.57,0.15,22.8
6.31,7.85,44.51,24.93,16.41,0.15,22.79
7.14,7.71,43.69,24.35,17.12,0.15,22.79
5.83,8.44,44.57,24.21,16.95,0.15,22.79
5.93,8.14,45.0,22.99,16.9,0.15,22.79
5.74,7.98,42.9,26.45,16.93,0.15,22.79
7.26,8.73,44.04,22.86,17.11,0.15,22.79
6.55,7.6,42.67,26.49,16.7,0.15,22.79
7.11,8.08,43.0,24.42,17.39,0.15,22.79
5.32,7.52,44.83,25.84,16.49,0.15,22.79
5.51,7.96,44.12,25.53,16.88,0.15,22.79
6.19,8.72,43.29,25.17,16.62,0.15,22.79
6.08,7.94,44.25,24.63,17.09,0.15,22.79
6.4,8.31,43.42,24.39,17.48,0.15,22.79
7.14,8.58,43.2,24.55,16.53,0.15,22.79
6.83,8.63,43.76,24.52,16.26,0.15,22.79
6.14,7.69,45.0,23.67,17.26,0.15,22.79
6.08,8.38,43.65,25.46,16.43,0.15,22.79
7.22,8.68,43.61,23.53,16.96,0.15,22.79
5.87,7.52,45.0,24.43,16.77,0.15,22.79
6.76,8.33,45.0,22.92,16.76,0.15,22.79
5.96,8.14,43.11,25.47,17.33,0.15,22.79
6.91,7.65,45.0,22.75,17.28,0.15,22.79
5.41,7.54,44.4,25.29,17.37,0.15,22.79
5.58,8.15,44.63,24.81,16.83,0.15,22.79
7.34,7.8,45.0,22.58,16.77,0.15,22.79
5.4,8.3,43.04,26.57,16.68,0.15,22.79
6.8,7.89,42.62,25.38,17.31,0.15,22.79
6.58,8.46,42.93,25.28,16.74,0.15,22.79
6.62,7.51,45.0,22.94,16.81,0.15,22.79
7.44,8.17,43.62,24.04,16.72,0.15,22.79
7.18,8.27,43.99,23.43,17.13,0.15,22.79
6.57,7.97,43.4,25.11,16.94,0.15,22.79
6.07,8.1,43.84,24.52,17.47,0.15,22.79
5.54,7.93,45.0,24.23,17.04,0.15,22.79
5.21,8.62,44.72,24.05,17.41,0.15,22.79
6.12,8.5,43.0,25.39,16.99,0.15,22.79
5.98,7.55,44.12,25.78,16.56,0.15,22.79
7.17,7.74,43.36,24.87,16.86,0.15,22.79
7.01,7.51,43.02,26.12,16.33,0.15,22.79
7.14,8.39,44.15,23.65,16.67,0.15,22.79
5.51,8.21,45.0,24.03,16.93,0.15,22.79
7.02,8.02,43.71,23.98,17.27,0.15,22.79
5.34,7.58,44.18,26.53,16.37,0.15,22.79
6.05,8.19,43.78,25.22,16.76,0.15,22.79
6.99,8.24,42.95,24.68,17.15,0.15,22.79
7.09,8.12,44.62,23.74,16.42,0.15,22.79
7.01,8.61,42.86,24.67,16.85,0.15,22.79
6.97,8.71,44.1,23.29,16.93,0.15,22.79
6.32,8.16,43.89,25.36,16.27,0.15,22.79
6.32,8.54,45.0,23.77,16.31,0.15,22.79
6.04,8.74,44.08,24.5,16.65,0.15,22.79
6.4,8.43,42.79,25.5,16.88,0.15,22.79
6.55,8.74,42.57,24.77,17.38,0.15,22.79
6.95,8.28,43.3,24.9,16.57,0.15,22.79
5.96,8.25,42.74,25.59,17.46,0.15,22.79
7.57,9.54,42.59,23.02,17.29,0.15,22.64
7.97,9.33,42.89,22.93,16.88,0.15,22.64
7.75,9.21,42.76,23.8,16.49,0.15,22.64
8.55,8.9,43.27,22.91,16.36,0.15,22.64
7.96,8.86,42.65,24.13,16.4,0.15,22.64
8.17,10.0,42.66,22.51,16.43,0.15,22.64
7.76,9.14,43.01,22.61,17.48,0.15,22.64
7.59,9.68,43.02,22.93,16.77,0.15,22.64
9.13,7.55,42.51,23.74,17.07,0.15,22.62
8.56,7.69,44.64,22.76,16.35,0.15,22.62
7.54,7.54,42.96,24.59,17.38,0.15,22.62
7.71,7.76,42.82,25.31,16.4,0.15,22.62
8.08,7.9,43.73,23.6,16.68,0.15,22.62
8.13,8.42,42.95,23.9,16.6,0.15,22.62
8.04,8.42,43.24,23.15,17.16,0.15,22.62
8.56,7.64,43.17,24.36,16.27,0.15,22.62
8.74,8.32,43.0,22.96,16.98,0.15,22.62
8.03,7.97,42.99,23.59,17.42,0.15,22.62
8.77,7.6,42.76,24.05,16.81,0.15,22.62
7.96,7.69,44.14,22.74,17.46,0.15,22.62
7.92,8.14,44.01,23.21,16.71,0.15,22.62
7.84,8.6,44.37,22.76,16.43,0.15,22.62
8.12,8.25,43.37,22.85,17.41,0.15,22.62
9.05,7.64,42.91,23.63,16.77,0.15,22.62
8.84,7.51,43.01,23.43,17.21,0.15,22.62
8.17,7.98,42.99,23.54,17.31,0.15,22.62
9.03,8.27,43.5,22.94,16.26,0.15,22.62
8.22,8.1,43.39,23.04,17.25,0.15,22.62
9.1,7.71,42.67,23.98,16.53,0.15,22.62
8.94,7.93,42.62,23.63,16.88,0.15,22.62
8.54,7.98,43.66,22.85,16.97,0.15,22.62
6.85,6.34,43.74,25.61,17.45,0.15,22.11
5.49,7.43,44.59,25.81,16.68,0.15,22.11
7.25,7.36,43.02,25.86,16.51,0.15,22.11
6.55,7.01,43.39,25.71,17.34,0.15,22.11
6.43,6.96,43.02,27.07,16.52,0.15,22.11
7.38,7.41,42.77,25.77,16.66,0.15,22.11
6.44,6.3,43.84,25.97,17.44,0.15,22.11
6.13,7.32,43.35,26.72,16.48,0.15,22.11
6.21,6.43,44.14,25.86,17.36,0.15,22.11
7.04,7.19,43.37,25.92,16.49,0.15,22.11
6.99,6.8,43.63,26.33,16.26,0.15,22.11
5.9,7.17,42.67,26.91,17.35,0.15,22.11
6.55,6.5,43.83,26.39,16.72,0.15,22.11
6.05,7.04,43.8,25.91,17.2,0.15,22.11
5.55,7.4,44.66,25.41,16.99,0.15,22.11
5.92,6.5,43.11,27.16,17.31,0.15,22.11
5.24,6.36,45.0,25.84,17.12,0.15,22.11
5.66,7.24,42.67,27.47,16.97,0.15,22.11
7.34,6.64,42.81,25.73,17.48,0.15,22.11
6.14,6.3,43.3,27.48,16.78,0.15,22.11
6.24,6.7,43.15,27.07,16.85,0.15,22.11
5.96,7.03,43.43,26.22,17.36,0.15,22.11
5.98,6.52,43.79,26.62,17.09,0.15,22.11
5.96,6.84,43.57,27.06,16.57,0.15,22.11
6.48,7.33,42.65,26.86,16.68,0.15,22.11
6.52,7.4,43.52,26.07,16.48,0.15,22.11
5.94,6.63,44.47,26.06,16.91,0.15,22.11
5.16,6.79,44.99,26.55,16.5,0.15,22.11
7.34,6.72,43.03,26.05,16.86,0.15,22.11
5.52,7.01,43.63,27.34,16.5,0.15,22.11
6.79,6.4,42.63,26.94,17.24,0.15,22.11
6.66,6.72,42.69,27.09,16.85,0.15,22.11
5.94,7.08,43.11,27.15,16.72,0.15,22.11
7.03,6.52,44.27,25.78,16.41,0.15,22.11
5.56,6.72,43.1,27.19,17.42,0.15,22.11
5.49,6.47,44.25,27.43,16.37,0.15,22.11
5.66,7.2,43.78,26.41,16.96,0.15,22.11
6.61,6.3,43.58,26.96,16.55,0.15,22.11
6.76,7.45,43.99,25.33,16.47,0.15,22.11
5.02,6.53,44.57,26.89,16.99,0.15,22.11
6.19,6.48,45.0,25.27,16.5,0.15,22.11
6.32,7.3,42.84,26.05,17.49,0.15,22.11
9.59,7.0,42.87,23.75,16.8,0.15,21.95
9.61,6.42,43.14,23.45,17.39,0.15,21.95
8.8,6.54,43.16,24.25,17.25,0.15,21.95
7.92,6.39,44.1,25.12,16.48,0.15,21.95
9.78,6.93,43.58,23.38,16.33,0.15,21.95
9.49,6.38,45.0,22.56,16.35,0.15,21.95
8.64,6.75,42.71,24.81,17.09,0.15,21.95
7.7,6.84,42.72,25.52,17.21,0.15,21.95
8.15,6.53,43.72,24.23,17.38,0.15,21.95
8.8,6.49,42.81,25.61,16.3,0.15,21.95
9.3,7.21,43.32,23.16,17.0,0.15,21.95
8.23,6.3,43.74,24.4,17.33,0.15,21.95
7.98,7.18,43.75,24.46,16.63,0.15,21.95
9.05,6.87,42.85,24.67,16.56,0.15,21.95
7.81,7.02,43.95,24.96,16.26,0.15,21.95
8.84,6.66,44.12,23.54,16.85,0.15,21.95
7.62,7.25,43.17,25.01,16.95,0.15,21.95
8.82,6.49,42.95,24.33,17.41,0.15,21.95
8.55,7.49,43.33,23.32,17.31,0.15,21.95
9.91,6.67,42.78,23.62,17.02,0.15,21.95
8.35,7.3,43.73,24.13,16.49,0.15,21.95
7.81,7.05,43.55,24.27,17.31,0.15,21.95
8.2,7.28,42.91,25.2,16.42,0.15,21.95
10.0,6.65,42.59,24.41,16.35,0.15,21.95
8.02,6.46,44.28,24.56,16.67,0.15,21.95
7.59,6.9,43.47,24.56,17.48,0.15,21.95
8.16,6.28,43.0,25.33,17.23,0.15,21.95
8.14,7.41,42.83,25.3,16.32,0.15,21.95
8.38,6.55,43.48,24.84,16.75,0.15,21.95
9.94,6.98,43.91,22.81,16.35,0.15,21.95
8.82,7.3,44.79,22.72,16.37,0.15,21.95
8.74,7.09,44.83,22.82,16.52,0.15,21.95
8.36,6.84,44.62,22.9,17.28,0.15,21.95
9.71,7.34,43.85,22.81,16.28,0.15,21.95
8.07,6.83,42.73,25.89,16.47,0.15,21.95
7.53,6.93,44.67,23.52,17.35,0.15,21.95
8.54,6.62,44.28,23.51,17.05,0.15,21.95
8.3,6.54,43.69,24.28,17.18,0.15,21.95
9.96,6.41,43.67,22.98,16.98,0.15,21.95
9.24,6.89,44.09,22.85,16.92,0.15,21.95
8.49,7.2,44.3,23.64,16.37,0.15,21.95
7.92,7.37,43.5,23.94,17.27,0.15,21.95
9.47,6.87,44.07,22.58,17.0,0.15,21.95
9.11,7.25,42.74,24.04,16.86,0.15,21.95
9.67,6.74,42.79,23.75,17.05,0.15,21.95
7.94,7.5,42.66,25.5,16.4,0.15,21.95
7.82,7.03,45.0,23.31,16.67,0.15,21.95
7.95,7.17,44.29,24.23,16.35,0.15,21.95
9.66,6.7,42.81,23.45,17.38,0.15,21.95
9.65,6.8,42.87,23.58,17.11,0.15,21.95
5.38,9.57,44.22,25.22,15.61,0.16,22.81
6.17,9.32,43.34,25.68,15.49,0.16,22.81
6.77,9.12,45.0,22.74,15.83,0.16,22.81
5.24,9.25,43.19,26.38,15.94,0.16,22.81
5.56,8.96,44.95,25.47,15.06,0.16,22.81
6.0,10.0,45.0,23.08,15.78,0.16,22.81
6.03,9.2,45.0,23.13,15.76,0.16,22.81
6.14,8.92,42.95,26.07,15.93,0.16,22.81
6.83,8.92,44.29,23.79,16.16,0.16,22.81
5.5,9.13,44.14,26.0,15.22,0.16,22.81
7.22,9.35,43.17,24.86,15.41,0.16,22.81
5.5,9.09,44.62,25.16,15.64,0.16,22.81
6.83,9.37,42.76,25.39,15.65,0.16,22.81
5.66,8.88,43.02,26.55,15.9,0.16,22.81
7.03,9.94,42.88,24.74,15.4,0.16,22.81
5.91,9.52,43.54,25.12,15.93,0.16,22.81
5.57,9.32,45.0,23.27,16.05,0.16,22.81
6.2,9.41,45.0,23.39,15.93,0.16,22.81
5.34,9.65,43.85,25.15,16.02,0.16,22.81
6.92,9.67,42.86,24.82,15.72,0.16,22.81
7.19,9.93,43.55,23.43,15.9,0.16,22.81
5.73,10.0,43.47,25.41,15.31,0.16,22.81
7.15,9.53,43.47,24.55,15.3,0.16,22.81
7.47,10.0,43.33,22.98,16.21,0.16,22.81
5.45,9.64,42.71,27.1,15.1,0.16,22.81
6.6,9.66,42.88,25.43,15.43,0.16,22.81
7.18,8.62,43.12,24.91,16.18,0.16,22.79
5.79,7.78,44.93,25.64,15.86,0.16,22.79
6.55,8.04,43.42,25.89,16.1,0.16,22.79
6.98,8.51,44.68,24.05,15.77,0.16,22.79
7.41,7.68,43.15,25.62,16.14,0.16,22.79
6.7,8.49,43.39,26.06,15.35,0.16,22.79
5.6,8.41,44.01,26.57,15.4,0.16,22.79
7.32,8.37,43.06,26.8,15.0,0.16,22.79
6.58,7.58,43.67,26.62,15.55,0.16,22.79
5.38,7.68,43.71,27.12,16.1,0.16,22.79
5.54,7.82,44.5,25.99,16.15,0.16,22.79
5.37,7.53,45.0,25.89,15.85,0.16,22.79
5.35,8.71,45.0,24.36,15.84,0.16,22.79
6.25,7.89,45.0,23.95,16.14,0.16,22.79
5.43,8.11,42.96,27.3,16.19,0.16,22.79
7.39,8.54,44.21,23.97,15.88,0.16,22.79
6.21,8.46,43.48,26.09,15.76,0.16,22.79
6.22,8.09,43.32,26.28,16.09,0.16,22.79
7.32,8.61,43.54,25.22,15.31,0.16,22.79
7.38,8.48,42.82,26.28,15.06,0.16,22.79
6.85,8.64,43.86,24.82,15.83,0.16,22.79
8.01,8.79,42.61,24.65,15.94,0.16,22.65
8.51,8.8,44.4,22.59,15.7,0.16,22.65
7.58,9.18,44.47,22.61,16.15,0.16,22.65
7.89,9.02,44.34,23.05,15.7,0.16,22.65
8.12,8.87,42.66,25.15,15.2,0.16,22.65
7.92,9.39,44.08,22.59,16.02,0.16,22.65
9.19,9.12,43.22,23.96,15.0,0.16,22.65
8.82,9.32,42.58,23.92,15.35,0.16,22.65
8.11,9.0,43.24,23.65,16.0,0.16,22.65
8.06,7.81,42.77,25.64,15.72,0.16,22.63
8.24,8.2,45.0,22.69,15.68,0.16,22.63
8.38,8.75,43.08,24.34,15.46,0.16,22.63
9.09,8.05,44.94,22.63,15.28,0.16,22.63
9.54,8.37,43.83,22.83,15.43,0.16,22.63
9.68,7.87,43.59,22.95,15.91,0.16,22.63
9.6,7.53,43.54,23.71,15.62,0.16,22.63
9.17,7.69,42.54,24.78,15.82,0.16,22.63
8.02,8.04,42.57,25.29,16.08,0.16,22.63
8.9,8.13,42.63,24.8,15.54,0.16,22.63
7.96,8.42,42.66,24.86,16.09,0.16,22.63
8.5,8.43,43.25,23.74,16.07,0.16,22.63
8.03,8.19,43.0,24.93,15.85,0.16,22.63
8.88,7.61,43.96,24.63,15.0,0.16,22.63
7.86,8.75,42.61,25.12,15.65,0.16,22.63
8.41,8.72,44.19,23.22,15.46,0.16,22.63
9.93,8.06,42.86,22.94,16.2,0.16,22.63
7.51,8.27,43.71,25.09,15.41,0.16,22.63
9.57,8.74,42.9,22.83,15.96,0.16,22.63
8.0,8.7,44.3,23.67,15.34,0.16,22.63
7.78,8.72,44.78,23.01,15.71,0.16,22.63
9.37,7.96,43.8,23.34,15.53,0.16,22.63
7.52,8.22,45.0,23.42,15.45,0.16,22.63
10.5,9.14,42.59,22.68,15.08,0.16,22.62
10.46,9.13,42.53,22.74,15.14,0.16,22.62
10.77,9.29,42.78,22.67,15.0,0.16,22.62
10.38,9.12,42.57,23.15,15.0,0.16,22.62
7.05,6.65,45.0,25.64,15.54,0.16,22.12
7.39,6.96,45.0,24.81,15.62,0.16,22.12
6.03,7.1,45.0,25.98,15.85,0.16,22.12
5.4,7.39,44.47,26.7,16.05,0.16,22.12
5.69,6.8,44.56,27.5,15.45,0.16,22.12
6.04,7.29,43.46,27.22,15.99,0.16,22.12
5.7,6.64,45.0,24.26,16.14,0.16,22.12
7.41,6.3,44.69,26.16,15.43,0.16,22.12
6.2,7.07,44.39,27.06,15.27,0.16,22.12
6.14,7.45,43.52,27.47,15.43,0.16,22.12
6.59,7.27,45.0,24.59,16.18,0.16,22.12
7.16,6.92,43.38,26.55,15.99,0.16,22.12
6.85,7.41,43.42,26.34,15.98,0.16,22.12
6.61,6.81,44.51,26.08,15.99,0.16,22.12
6.41,7.09,43.99,26.3,16.21,0.16,22.12
7.42,6.32,43.87,26.51,15.88,0.16,22.12
7.44,7.22,43.25,26.0,16.09,0.16,22.12
7.45,7.03,43.52,25.91,16.08,0.16,22.12
7.15,7.07,43.07,26.84,15.86,0.16,22.12
6.9,7.45,42.73,27.45,15.47,0.16,22.12
9.0,7.16,43.84,24.67,15.32,0.16,21.96
9.6,7.34,43.13,24.11,15.82,0.16,21.96
7.91,6.81,44.27,25.91,15.1,0.16,21.96
8.01,6.94,43.9,26.1,15.05,0.16,21.96
9.69,7.14,43.18,24.51,15.49,0.16,21.96
9.34,6.62,43.94,24.6,15.5,0.16,21.96
8.72,7.11,42.56,26.36,15.25,0.16,21.96
8.76,7.46,42.97,25.23,15.57,0.16,21.96
9.46,6.67,42.75,24.9,16.22,0.16,21.96
9.04,6.46,43.08,26.63,15.0,0.16,21.96
8.8,6.98,43.35,24.9,15.98,0.16,21.96
8.77,7.01,45.0,23.21,15.82,0.16,21.96
8.48,7.2,45.0,23.12,15.63,0.16,21.96
9.06,6.88,45.0,23.29,15.53,0.16,21.96
7.62,6.58,44.46,25.62,15.72,0.16,21.96
8.46,6.35,44.77,24.68,15.75,0.16,21.96
8.5,6.35,42.85,27.05,15.25,0.16,21.96
9.0,7.13,42.77,25.91,15.19,0.16,21.96
9.95,6.8,43.31,25.35,15.0,0.16,21.96
7.81,7.3,43.03,26.97,15.0,0.16,21.96
7.58,6.61,45.0,24.38,15.57,0.16,21.96
9.04,7.03,43.83,25.27,15.0,0.16,21.96
9.48,6.64,42.61,25.06,16.2,0.16,21.96
8.42,6.33,42.51,26.84,15.91,0.16,21.96
8.99,6.58,42.85,25.45,16.14,0.16,21.96
8.96,7.02,43.4,24.84,15.78,0.16,21.96
7.93,7.35,45.0,23.36,15.99,0.16,21.96
7.81,6.89,44.08,25.72,15.5,0.16,21.96
9.25,6.43,43.13,25.66,15.53,0.16,21.96
7.7,7.45,44.49,24.88,15.49,0.16,21.96
9.33,7.46,44.35,23.2,15.66,0.16,21.96
7.73,6.67,43.35,26.36,15.89,0.16,21.96
8.77,6.98,45.0,22.51,15.75,0.16,21.96
8.39,6.88,43.3,25.95,15.47,0.16,21.96
9.95,6.29,43.76,23.81,16.19,0.16,21.96
7.57,7.23,43.67,25.59,15.94,0.16,21.96
9.16,6.95,44.92,22.98,15.98,0.16,21.96
8.04,6.53,42.96,26.55,15.92,0.16,21.96
9.32,6.88,45.0,23.26,15.38,0.16,21.96
9.52,6.43,44.25,23.73,16.07,0.16,21.96
8.04,6.84,43.14,27.17,15.0,0.16,21.96
7.75,6.71,44.8,25.23,15.51,0.16,21.96
10.35,6.6,43.23,23.22,16.61,0.16,21.94
10.34,7.01,43.12,22.55,16.98,0.16,21.94
10.47,7.05,42.81,23.01,16.65,0.16,21.94
10.84,6.31,43.86,22.59,16.4,0.16,21.94
10.77,6.43,43.08,22.84,16.88,0.16,21.94
11.46,6.45,42.95,22.85,16.3,0.16,21.94
11.21,7.23,43.0,23.55,15.01,0.17,21.95
11.87,6.7,42.77,23.07,15.59,0.17,21.95
10.94,6.8,42.68,23.73,15.85,0.17,21.95
10.56,6.52,43.03,24.23,15.67,0.17,21.95
11.53,7.23,42.52,22.54,16.18,0.17,21.95
10.38,6.73,42.67,24.62,15.6,0.17,21.95
10.89,7.42,43.83,22.64,15.23,0.17,21.95
11.04,7.0,43.43,22.53,16.0,0.17,21.95
11.41,6.72,42.85,23.12,15.89,0.17,21.95
10.01,7.34,43.09,23.5,16.05,0.17,21.95
11.5,7.31,42.59,24.05,15.0,0.17,21.95
12.0,6.41,42.68,23.72,15.19,0.17,21.95
11.62,6.32,43.45,22.98,15.63,0.17,21.95
10.48,6.38,43.36,23.73,16.05,0.17,21.95
5.8,8.1,43.15,25.2,17.75,0.18,23.13
5.37,8.15,45.0,22.53,18.64,0.18,23.13
6.94,8.13,43.43,23.27,18.24,0.18,23.13
6.08,7.87,43.34,24.39,18.33,0.18,23.13
6.57,8.31,42.91,24.33,17.89,0.18,23.13
6.34,7.58,44.61,23.13,18.34,0.18,23.13
6.92,7.83,43.96,23.53,17.77,0.18,23.13
6.06,7.95,43.48,24.14,18.37,0.18,23.13
7.19,8.35,42.53,24.14,17.79,0.18,23.13
6.56,8.24,42.58,24.89,17.73,0.18,23.13
5.44,7.92,45.0,22.91,17.58,0.18,23.13
6.24,8.29,43.12,24.55,17.8,0.18,23.13
5.27,7.8,43.03,25.22,18.68,0.18,23.13
7.0,7.61,43.72,23.54,18.14,0.18,23.13
7.0,7.72,42.52,24.51,18.24,0.18,23.13
6.34,7.77,43.21,24.24,18.45,0.18,23.13
5.94,7.8,42.74,25.73,17.79,0.18,23.13
5.81,7.81,42.57,25.91,17.9,0.18,23.13
5.27,7.79,42.56,26.28,18.08,0.18,23.13
5.56,8.47,44.32,23.14,18.51,0.18,23.13
6.69,8.52,42.88,23.91,18.01,0.18,23.13
5.48,7.94,43.66,24.52,18.4,0.18,23.13
6.45,8.52,43.21,23.36,18.46,0.18,23.13
5.78,8.07,44.09,24.31,17.74,0.18,23.13
6.37,7.67,43.54,24.1,18.33,0.18,23.13
5.36,7.6,43.38,25.61,18.05,0.18,23.13
6.52,7.64,43.46,23.87,18.51,0.18,23.13
7.49,8.04,42.95,23.65,17.87,0.18,23.13
6.62,8.0,43.41,23.85,18.12,0.18,23.13
5.17,8.17,44.48,24.44,17.74,0.18,23.13
5.64,8.21,44.07,24.51,17.56,0.18,23.13
6.55,7.92,42.8,24.55,18.17,0.18,23.13
6.12,8.38,43.0,24.69,17.8,0.18,23.13
5.87,8.02,42.81,24.68,18.62,0.18,23.13
6.67,8.08,42.56,24.94,17.75,0.18,23.13
7.23,7.88,43.36,23.77,17.76,0.18,23.13
6.0,8.03,45.0,23.03,17.93,0.18,23.13
6.83,8.48,44.12,22.62,17.95,0.18,23.13
5.25,7.51,44.08,24.45,18.72,0.18,23.13
6.67,7.75,43.37,24.04,18.16,0.18,23.13
7.1,7.82,43.34,23.72,18.02,0.18,23.13
5.43,7.98,45.0,23.31,17.87,0.18,23.13
6.41,7.87,44.8,22.65,18.26,0.18,23.13
5.31,8.26,42.84,26.07,17.52,0.18,23.13
5.73,7.53,44.84,24.23,17.67,0.18,23.13
6.18,7.84,43.9,24.5,17.59,0.18,23.13
6.61,7.8,42.66,24.95,17.97,0.18,23.13
6.21,7.83,42.68,25.44,17.84,0.18,23.13
7.14,7.8,42.62,24.01,18.44,0.18,23.13
7.65,8.42,43.38,22.54,18.01,0.18,22.87
8.15,7.53,44.07,22.75,17.51,0.18,22.87
8.44,7.6,42.71,23.68,17.57,0.18,22.87
7.93,8.47,42.58,23.05,17.97,0.18,22.87
7.52,8.2,42.82,23.82,17.64,0.18,22.87
8.57,7.73,43.2,22.91,17.59,0.18,22.87
7.64,8.3,43.25,23.23,17.58,0.18,22.87
7.89,8.06,42.71,23.11,18.23,0.18,22.87
8.24,8.24,42.54,22.91,18.08,0.18,22.87
8.04,8.16,43.43,22.71,17.66,0.18,22.87
8.23,7.56,42.76,23.55,17.91,0.18,22.87
7.18,7.41,43.63,23.79,17.98,0.18,22.11
6.29,6.59,44.81,23.66,18.64,0.18,22.11
6.7,7.22,44.43,23.17,18.48,0.18,22.11
6.76,6.35,44.15,24.82,17.92,0.18,22.11
6.09,6.44,45.0,23.64,18.11,0.18,22.11
5.42,7.05,45.0,23.14,18.22,0.18,22.11
6.02,6.55,43.66,26.22,17.55,0.18,22.11
6.23,7.01,43.61,25.59,17.55,0.18,22.11
5.17,6.64,44.24,25.94,18.01,0.18,22.11
6.03,7.13,43.95,24.52,18.37,0.18,22.11
6.81,7.13,45.0,23.42,17.57,0.18,22.11
5.49,6.47,44.04,26.12,17.87,0.18,22.11
5.9,7.08,42.83,25.9,18.3,0.18,22.11
6.71,6.71,45.0,22.97,18.37,0.18,22.11
6.15,7.4,43.02,25.79,17.64,0.18,22.11
5.25,7.3,42.55,26.33,18.58,0.18,22.11
5.57,6.98,43.25,26.36,17.84,0.18,22.11
